association_type,left,right,pearson,spearman,effect_size,support,high_association
numeric_pair,search_volume,competition,0.04988686415682666,0.6552271023813395,,27532,False
numeric_pair,search_volume,cpc,0.042085093640813025,0.591936564527471,,27532,False
numeric_pair,search_volume,word_count,-0.019457600727443004,-0.2972298240376932,,20018,False
numeric_pair,search_volume,char_count,-0.023875800198855424,-0.33028896484144193,,20018,False
numeric_pair,search_volume,impressions_90d,0.0012030310696208993,-0.02907382361061245,,27532,False
numeric_pair,search_volume,clicks_90d,-0.011259795069400258,-0.06762928842223209,,27532,False
numeric_pair,search_volume,pageviews_90d,-0.015152209041358146,-0.0638086858893948,,27532,False
numeric_pair,search_volume,sessions_90d,-0.013171311953094008,-0.050687741992974336,,27532,False
numeric_pair,search_volume,users_90d,-0.013394498230306372,-0.05181779636693245,,27532,False
numeric_pair,search_volume,engaged_sessions_90d,-0.009711646468379442,-0.0486082085726119,,27532,False
numeric_pair,search_volume,ai_sessions_90d,-0.012217729236054086,-0.0915098313198546,,27532,False
numeric_pair,search_volume,scroll_events_90d,-0.009163010065602755,-0.1654046664568789,,27532,False
numeric_pair,search_volume,days_with_impressions,0.009828078521460726,0.0051586125086868365,,27532,False
numeric_pair,search_volume,days_with_sessions,-0.018078748248170094,-0.054613160342606756,,27532,False
numeric_pair,search_volume,impressions_last_30d,0.0010281550844866726,-0.00932396476071573,,27532,False
numeric_pair,search_volume,clicks_last_30d,-0.009635158882719673,-0.0703082139541565,,27532,False
numeric_pair,search_volume,sessions_last_30d,-0.01015971086946528,-0.0070860110813405295,,27532,False
numeric_pair,search_volume,impressions_prev_30d,-0.0015415763476261182,-0.04554309999744832,,27532,False
numeric_pair,search_volume,clicks_prev_30d,-0.010892548308541895,-0.0647242111733113,,27532,False
numeric_pair,search_volume,sessions_prev_30d,-0.006993573437720487,-0.060676457242160066,,27532,False
numeric_pair,search_volume,content_age_days,0.090720349339036,0.3212262365923907,,27532,False
numeric_pair,search_volume,age_tier_order,0.08545760189746023,0.2999269303257184,,27532,False
numeric_pair,search_volume,days_since_last_update,-0.00323669605129826,-0.0034980370369519223,,27532,False
numeric_pair,search_volume,ctr,-0.003430268965773656,-0.07557417879334752,,27532,False
numeric_pair,search_volume,avg_position,0.045353994033149776,0.05876551632972865,,27532,False
numeric_pair,search_volume,engagement_rate,-0.010146129276914759,-0.02701374068047999,,27532,False
numeric_pair,search_volume,scroll_rate,-0.013808228802351531,-0.13464472771087121,,27408,False
numeric_pair,search_volume,ai_traffic_pct,-0.0032503458332791713,-0.08833651154514784,,27532,False
numeric_pair,search_volume,trend_pct,0.0025146706043140104,0.09180436305823451,,25287,False
numeric_pair,competition,cpc,0.3024150946452912,0.7399299459985321,,27532,False
numeric_pair,competition,word_count,-0.2010186251624591,-0.2602982761544045,,20018,False
numeric_pair,competition,char_count,-0.1858282792813109,-0.27767210127945,,20018,False
numeric_pair,competition,impressions_90d,-0.05353030771769351,-0.06995257206218168,,27532,False
numeric_pair,competition,clicks_90d,-0.03215963251469684,-0.09201856561668056,,27532,False
numeric_pair,competition,pageviews_90d,-0.07198889310704076,-0.07665897661231212,,27532,False
numeric_pair,competition,sessions_90d,-0.06373811047485958,-0.06845584570228927,,27532,False
numeric_pair,competition,users_90d,-0.06502562559504389,-0.06904204049405648,,27532,False
numeric_pair,competition,engaged_sessions_90d,-0.01975549562731004,-0.06134462813808454,,27532,False
numeric_pair,competition,ai_sessions_90d,-0.0300905814551974,-0.06627089690369885,,27532,False
numeric_pair,competition,scroll_events_90d,-0.03514235779319168,-0.13545502266676276,,27532,False
numeric_pair,competition,days_with_impressions,-0.04958669057415865,-0.04525114554084835,,27532,False
numeric_pair,competition,days_with_sessions,-0.0888438663700392,-0.07685321474072752,,27532,False
numeric_pair,competition,impressions_last_30d,-0.040937112361736916,-0.061896007171830913,,27532,False
numeric_pair,competition,clicks_last_30d,-0.03190201241985513,-0.09728294350120077,,27532,False
numeric_pair,competition,sessions_last_30d,-0.06473100247133033,-0.04114256813583966,,27532,False
numeric_pair,competition,impressions_prev_30d,-0.051569024996312954,-0.08093828117006514,,27532,False
numeric_pair,competition,clicks_prev_30d,-0.030041014602827248,-0.08990916066326499,,27532,False
numeric_pair,competition,sessions_prev_30d,-0.03650284446807981,-0.09517269826702256,,27532,False
numeric_pair,competition,content_age_days,0.053409067780268334,0.15106153379193357,,27532,False
numeric_pair,competition,age_tier_order,0.024921820618798534,0.11180395373469529,,27532,False
numeric_pair,competition,days_since_last_update,-0.03376274645803433,-0.004269191773297738,,27532,False
numeric_pair,competition,ctr,-0.019170100083065546,-0.07195672816975777,,27532,False
numeric_pair,competition,avg_position,0.04903555172416911,0.05917924758238339,,27532,False
numeric_pair,competition,engagement_rate,0.0006940736698591209,-0.04317110328577347,,27532,False
numeric_pair,competition,scroll_rate,-0.03809830421890797,-0.10277735070459477,,27408,False
numeric_pair,competition,ai_traffic_pct,0.007955516939391425,-0.06359611191820891,,27532,False
numeric_pair,competition,trend_pct,0.014426041607792834,0.017850257726022317,,25287,False
numeric_pair,cpc,word_count,-0.09034929354643713,-0.18065492597993593,,20018,False
numeric_pair,cpc,char_count,-0.08266000973179964,-0.19743575837390268,,20018,False
numeric_pair,cpc,impressions_90d,-0.0255988169569541,-0.05679882487187667,,27532,False
numeric_pair,cpc,clicks_90d,-0.02341816728065496,-0.09000715602486482,,27532,False
numeric_pair,cpc,pageviews_90d,-0.028969803511521564,-0.06287844101749772,,27532,False
numeric_pair,cpc,sessions_90d,-0.029505337887727585,-0.05743987346937938,,27532,False
numeric_pair,cpc,users_90d,-0.029417025712689338,-0.05800294834468787,,27532,False
