column,level,count,percentage,cumulative_percentage,is_rare
competition_level,LOW,22896,76.32,76.32,False
competition_level,HIGH,2658,8.86,85.18,False
competition_level,__MISSING__,2610,8.7,93.88,False
competition_level,MEDIUM,1836,6.12,100.0,False
content_type,keyword article,27207,90.69,90.69,False
content_type,feedly article,2096,6.9867,97.6767,False
content_type,comparison article,697,2.3233,100.0,False
main_intent,informational,17235,57.45,57.45,False
main_intent,transactional,5733,19.11,76.56,False
main_intent,commercial,4612,15.3733,91.9333,False
main_intent,__MISSING__,2374,7.9133,99.8467,False
main_intent,navigational,46,0.1533,100.0,False
provider_used,__MISSING__,21438,71.46,71.46,False
provider_used,google,7364,24.5467,96.0067,False
provider_used,openai,1198,3.9933,100.0,False
model_used,gemini-3-flash-preview,13271,44.2367,44.2367,False
model_used,__MISSING__,5733,19.11,63.3467,False
model_used,gpt-4o-mini,4981,16.6033,79.95,False
model_used,gemini-2.5-flash,3665,12.2167,92.1667,False
model_used,gpt-5-mini,1598,5.3267,97.4933,False
model_used,unknown,752,2.5067,100.0,False
age_tier,91-180,11780,39.2667,39.2667,False
age_tier,181-365,11368,37.8933,77.16,False
age_tier,365+,6360,21.2,98.36,False
age_tier,31-90,492,1.64,100.0,False
freshness_tier,0-30,20480,68.2667,68.2667,False
freshness_tier,91-180,9171,30.57,98.8367,False
freshness_tier,31-90,175,0.5833,99.42,False
freshness_tier,181+,174,0.58,100.0,False
word_count_tier,2000-3500,11263,37.5433,37.5433,False
word_count_tier,__MISSING__,7699,25.6633,63.2067,False
word_count_tier,3500+,6285,20.95,84.1567,False
word_count_tier,1000-2000,3780,12.6,96.7567,False
word_count_tier,<1000,973,3.2433,100.0,False
char_count_tier,15000-25000,12055,40.1833,40.1833,False
char_count_tier,__MISSING__,7699,25.6633,65.8467,False
char_count_tier,25000+,5123,17.0767,82.9233,False
char_count_tier,8000-15000,3805,12.6833,95.6067,False
char_count_tier,<8000,1318,4.3933,100.0,False
impression_tier,low,11248,37.4933,37.4933,False
impression_tier,moderate,10469,34.8967,72.39,False
impression_tier,good,7205,24.0167,96.4067,False
impression_tier,excellent,1078,3.5933,100.0,False
position_tier,page_1,11814,39.38,39.38,False
position_tier,striking,7304,24.3467,63.7267,False
position_tier,page_3_5,7242,24.14,87.8667,False
position_tier,top_3,2321,7.7367,95.6033,False
position_tier,deep,1319,4.3967,100.0,False
trend_direction,down,16262,54.2067,54.2067,False
trend_direction,stable,5962,19.8733,74.08,False
trend_direction,up,4388,14.6267,88.7067,False
trend_direction,new,2236,7.4533,96.16,False
trend_direction,flat,1152,3.84,100.0,False
