kind,name,count,percentage,target_cramers_v,exceeds_threshold
column,content_id,0,0.0,0.0,False
column,client_id,0,0.0,0.0,False
column,search_volume,2468,8.2267,0.386223,False
column,competition,2468,8.2267,0.386223,False
column,competition_level,2610,8.7,0.373443,False
column,cpc,2468,8.2267,0.386223,False
column,content_type,0,0.0,0.0,False
column,main_intent,2374,7.9133,0.39459,False
column,word_count,7699,25.6633,0.220138,False
column,char_count,7699,25.6633,0.220138,False
column,provider_used,21438,71.46,0.09064,True
column,model_used,5733,19.11,0.223159,False
column,impressions_90d,0,0.0,0.0,False
column,clicks_90d,0,0.0,0.0,False
column,pageviews_90d,0,0.0,0.0,False
column,sessions_90d,0,0.0,0.0,False
column,users_90d,0,0.0,0.0,False
column,engaged_sessions_90d,0,0.0,0.0,False
column,ai_sessions_90d,0,0.0,0.0,False
column,scroll_events_90d,0,0.0,0.0,False
column,days_with_impressions,0,0.0,0.0,False
column,days_with_sessions,0,0.0,0.0,False
column,impressions_last_30d,0,0.0,0.0,False
column,clicks_last_30d,0,0.0,0.0,False
column,sessions_last_30d,0,0.0,0.0,False
column,impressions_prev_30d,0,0.0,0.0,False
column,clicks_prev_30d,0,0.0,0.0,False
column,sessions_prev_30d,0,0.0,0.0,False
column,content_age_days,0,0.0,0.0,False
column,age_tier,0,0.0,0.0,False
column,age_tier_order,0,0.0,0.0,False
column,days_since_last_update,0,0.0,0.0,False
column,freshness_tier,0,0.0,0.0,False
column,word_count_tier,7699,25.6633,0.220138,False
column,char_count_tier,7699,25.6633,0.220138,False
column,ctr,0,0.0,0.0,False
column,avg_position,0,0.0,0.0,False
column,engagement_rate,0,0.0,0.0,False
column,scroll_rate,125,0.4167,0.019695,False
column,ai_traffic_pct,0,0.0,0.0,False
column,impression_tier,0,0.0,0.0,False
column,position_tier,0,0.0,0.0,False
column,trend_direction,0,0.0,0.0,False
column,trend_pct,3388,11.2933,0.99995,False
pattern,provider_used,10437,34.79,,False
pattern,__COMPLETE__,7350,24.5,,False
pattern,word_count|char_count|provider_used|model_used|word_count_tier|char_count_tier,5714,19.0467,,False
pattern,word_count|char_count|provider_used|word_count_tier|char_count_tier,1557,5.19,,False
pattern,provider_used|trend_pct,1490,4.9667,,False
pattern,search_volume|competition|competition_level|cpc|main_intent|provider_used,889,2.9633,,False
pattern,search_volume|competition|competition_level|cpc|main_intent|provider_used|trend_pct,677,2.2567,,False
pattern,trend_pct,478,1.5933,,False
pattern,search_volume|competition|competition_level|cpc|main_intent|trend_pct,451,1.5033,,False
pattern,word_count|char_count|provider_used|word_count_tier|char_count_tier|trend_pct,229,0.7633,,False
pattern,search_volume|competition|competition_level|cpc|main_intent,179,0.5967,,False
pattern,search_volume|competition|competition_level|cpc|word_count|char_count|provider_used|word_count_tier|char_count_tier,136,0.4533,,False
pattern,competition_level|main_intent|provider_used,117,0.39,,False
pattern,search_volume|competition|competition_level|cpc|provider_used,85,0.2833,,False
pattern,scroll_rate,69,0.23,,False
pattern,search_volume|competition|competition_level|cpc|main_intent|word_count|char_count|provider_used|word_count_tier|char_count_tier,30,0.1,,False
pattern,provider_used|scroll_rate,27,0.09,,False
pattern,scroll_rate|trend_pct,17,0.0567,,False
pattern,competition_level|main_intent,13,0.0433,,False
pattern,search_volume|competition|competition_level|cpc|word_count|char_count|provider_used|word_count_tier|char_count_tier|trend_pct,13,0.0433,,False
