column,count,missing_count,missing_percentage,zero_count,negative_count,non_finite_count,mean,std,min,max,skew,iqr,outlier_count,q01,q05,q25,q50,q75,q95,q99
age_tier_order,30000,0,0.0,0,0,0,4.786533333333334,0.790391974194651,3.0,6.0,0.19832461961345418,1.0,0,3.0,4.0,4.0,5.0,5.0,6.0,6.0
ai_sessions_90d,30000,0,0.0,28070,0,0,0.2045,1.3636012602467646,0.0,64.0,19.136285040160868,0.0,1930,0.0,0.0,0.0,0.0,0.0,1.0,5.0
ai_traffic_pct,30000,0,0.0,28070,0,0,0.7681963333333333,7.429453612670269,0.0,300.0,18.432063961091764,0.0,1930,0.0,0.0,0.0,0.0,0.0,1.0304999999999926,16.67
avg_position,30000,0,0.0,1205,0,0,16.342380000000002,15.216790472786185,0.0,245.0,1.9842143239597736,16.1,1656,0.0,1.7,6.2,10.8,22.3,48.2,69.90099999999984
char_count,22301,7699,25.6633,0,0,0,20665.27783507466,10115.344042375886,40.0,111158.0,1.55119662621074,8367.0,2004,5571.0,7520.0,15644.0,19116.0,24011.0,40615.0,48205.0
clicks_90d,30000,0,0.0,13204,0,0,16.097333333333335,75.07695836858437,0.0,4178.0,18.34579025709638,7.0,4654,0.0,0.0,0.0,1.0,7.0,69.04999999999927,253.0099999999984
clicks_last_30d,30000,0,0.0,18365,0,0,4.933866666666667,23.929392949058542,0.0,1176.0,17.1204593203234,2.0,4450,0.0,0.0,0.0,0.0,2.0,21.0,81.0
clicks_prev_30d,30000,0,0.0,18241,0,0,5.4351,28.358672896798534,0.0,1627.0,21.310318815045804,2.0,4473,0.0,0.0,0.0,0.0,2.0,23.0,88.0
competition,27532,2468,8.2267,16379,0,0,0.14695445300014529,0.28524058763253557,0.0,1.0,2.043851819215966,0.13,4545,0.0,0.0,0.0,0.0,0.13,0.97,1.0
content_age_days,30000,0,0.0,0,0,0,256.1678,132.70793001795204,90.0,564.0,0.4889996992403849,201.0,0,90.0,96.0,132.0,236.0,333.0,487.0,537.0
cpc,27532,2468,8.2267,20679,0,0,0.4853421473194828,2.1015599150120874,0.0,100.36,13.737601040962032,0.0,6853,0.0,0.0,0.0,0.0,0.0,2.704499999999971,8.076899999999988
ctr,30000,0,0.0,13212,0,0,0.5107333333333334,3.2791619679926303,0.0,100.0,17.444251509644893,0.29,2613,0.0,0.0,0.0,0.07,0.29,1.09,8.33
