cohort,group,target,count,group_total,percentage,support_sufficient
client_id,client_00,down,16,38,42.1053,True
client_id,client_00,flat,6,38,15.7895,True
client_id,client_00,new,3,38,7.8947,True
client_id,client_00,stable,4,38,10.5263,True
client_id,client_00,up,9,38,23.6842,True
client_id,client_01,down,17,35,48.5714,True
client_id,client_01,flat,5,35,14.2857,True
client_id,client_01,new,7,35,20.0,True
client_id,client_01,stable,2,35,5.7143,True
client_id,client_01,up,4,35,11.4286,True
client_id,client_02,down,3435,7008,49.0154,True
client_id,client_02,flat,5,7008,0.0713,True
client_id,client_02,new,20,7008,0.2854,True
client_id,client_02,stable,2165,7008,30.8933,True
client_id,client_02,up,1383,7008,19.7346,True
client_id,client_03,down,0,3,0.0,False
client_id,client_03,flat,1,3,33.3333,False
client_id,client_03,new,0,3,0.0,False
client_id,client_03,stable,2,3,66.6667,False
client_id,client_03,up,0,3,0.0,False
client_id,client_04,down,0,476,0.0,True
client_id,client_04,flat,0,476,0.0,True
client_id,client_04,new,476,476,100.0,True
client_id,client_04,stable,0,476,0.0,True
client_id,client_04,up,0,476,0.0,True
client_id,client_05,down,126,649,19.4145,True
client_id,client_05,flat,4,649,0.6163,True
client_id,client_05,new,12,649,1.849,True
client_id,client_05,stable,188,649,28.9676,True
client_id,client_05,up,319,649,49.1525,True
client_id,client_06,down,526,763,68.9384,True
client_id,client_06,flat,1,763,0.1311,True
client_id,client_06,new,0,763,0.0,True
client_id,client_06,stable,171,763,22.4115,True
client_id,client_06,up,65,763,8.519,True
client_id,client_07,down,1901,2267,83.8553,True
client_id,client_07,flat,0,2267,0.0,True
client_id,client_07,new,5,2267,0.2206,True
client_id,client_07,stable,217,2267,9.5721,True
client_id,client_07,up,144,2267,6.352,True
client_id,client_08,down,45,87,51.7241,True
client_id,client_08,flat,0,87,0.0,True
client_id,client_08,new,20,87,22.9885,True
client_id,client_08,stable,5,87,5.7471,True
client_id,client_08,up,17,87,19.5402,True
client_id,client_09,down,1132,2294,49.3461,True
client_id,client_09,flat,1,2294,0.0436,True
client_id,client_09,new,4,2294,0.1744,True
client_id,client_09,stable,767,2294,33.435,True
client_id,client_09,up,390,2294,17.0009,True
client_id,client_10,down,331,556,59.5324,True
client_id,client_10,flat,46,556,8.2734,True
client_id,client_10,new,37,556,6.6547,True
client_id,client_10,stable,74,556,13.3094,True
client_id,client_10,up,68,556,12.2302,True
client_id,client_11,down,17,32,53.125,True
client_id,client_11,flat,1,32,3.125,True
client_id,client_11,new,1,32,3.125,True
client_id,client_11,stable,9,32,28.125,True
client_id,client_11,up,4,32,12.5,True
client_id,client_12,down,2370,3681,64.3847,True
client_id,client_12,flat,0,3681,0.0,True
client_id,client_12,new,3,3681,0.0815,True
client_id,client_12,stable,891,3681,24.2054,True
client_id,client_12,up,417,3681,11.3284,True
client_id,client_13,down,188,337,55.7864,True
client_id,client_13,flat,65,337,19.2878,True
client_id,client_13,new,10,337,2.9674,True
client_id,client_13,stable,39,337,11.5727,True
client_id,client_13,up,35,337,10.3858,True
client_id,client_14,down,977,1043,93.6721,True
client_id,client_14,flat,25,1043,2.3969,True
client_id,client_14,new,0,1043,0.0,True
client_id,client_14,stable,31,1043,2.9722,True
client_id,client_14,up,10,1043,0.9588,True
client_id,client_15,down,522,1194,43.7186,True
client_id,client_15,flat,201,1194,16.8342,True
client_id,client_15,new,103,1194,8.6265,True
client_id,client_15,stable,153,1194,12.8141,True
client_id,client_15,up,215,1194,18.0067,True
client_id,client_16,down,387,578,66.955,True
client_id,client_16,flat,136,578,23.5294,True
client_id,client_16,new,17,578,2.9412,True
client_id,client_16,stable,12,578,2.0761,True
client_id,client_16,up,26,578,4.4983,True
client_id,client_17,down,9,28,32.1429,False
client_id,client_17,flat,0,28,0.0,False
client_id,client_17,new,0,28,0.0,False
client_id,client_17,stable,13,28,46.4286,False
client_id,client_17,up,6,28,21.4286,False
client_id,client_18,down,121,158,76.5823,True
client_id,client_18,flat,3,158,1.8987,True
client_id,client_18,new,0,158,0.0,True
client_id,client_18,stable,19,158,12.0253,True
client_id,client_18,up,15,158,9.4937,True
client_id,client_19,down,73,118,61.8644,True
client_id,client_19,flat,22,118,18.6441,True
client_id,client_19,new,10,118,8.4746,True
client_id,client_19,stable,8,118,6.7797,True
client_id,client_19,up,5,118,4.2373,True
client_id,client_20,down,64,325,19.6923,True
client_id,client_20,flat,34,325,10.4615,True
client_id,client_20,new,148,325,45.5385,True
client_id,client_20,stable,28,325,8.6154,True
client_id,client_20,up,51,325,15.6923,True
client_id,client_21,down,782,1171,66.7805,True
client_id,client_21,flat,101,1171,8.6251,True
client_id,client_21,new,66,1171,5.6362,True
client_id,client_21,stable,92,1171,7.8565,True
client_id,client_21,up,130,1171,11.1016,True
client_id,client_22,down,98,254,38.5827,True
client_id,client_22,flat,3,254,1.1811,True
client_id,client_22,new,2,254,0.7874,True
client_id,client_22,stable,51,254,20.0787,True
client_id,client_22,up,100,254,39.3701,True
client_id,client_23,down,277,505,54.8515,True
client_id,client_23,flat,1,505,0.198,True
client_id,client_23,new,2,505,0.396,True
client_id,client_23,stable,131,505,25.9406,True
client_id,client_23,up,94,505,18.6139,True
client_id,client_24,down,33,44,75.0,True
client_id,client_24,flat,0,44,0.0,True
client_id,client_24,new,1,44,2.2727,True
client_id,client_24,stable,3,44,6.8182,True
client_id,client_24,up,7,44,15.9091,True
client_id,client_25,down,526,952,55.2521,True
client_id,client_25,flat,14,952,1.4706,True
client_id,client_25,new,10,952,1.0504,True
client_id,client_25,stable,211,952,22.1639,True
client_id,client_25,up,191,952,20.063,True
client_id,client_26,down,243,1106,21.9711,True
client_id,client_26,flat,57,1106,5.1537,True
client_id,client_26,new,488,1106,44.123,True
client_id,client_26,stable,153,1106,13.8336,True
client_id,client_26,up,165,1106,14.9186,True
client_id,client_27,down,18,43,41.8605,True
client_id,client_27,flat,2,43,4.6512,True
client_id,client_27,new,8,43,18.6047,True
client_id,client_27,stable,0,43,0.0,True
client_id,client_27,up,15,43,34.8837,True
client_id,client_28,down,61,708,8.6158,True
client_id,client_28,flat,233,708,32.9096,True
client_id,client_28,new,380,708,53.6723,True
client_id,client_28,stable,24,708,3.3898,True
client_id,client_28,up,10,708,1.4124,True
client_id,client_29,down,328,720,45.5556,True
client_id,client_29,flat,105,720,14.5833,True
client_id,client_29,new,71,720,9.8611,True
client_id,client_29,stable,105,720,14.5833,True
client_id,client_29,up,111,720,15.4167,True
client_id,client_30,down,1080,1796,60.1336,True
client_id,client_30,flat,75,1796,4.1759,True
client_id,client_30,new,103,1796,5.735,True
client_id,client_30,stable,255,1796,14.1982,True
client_id,client_30,up,283,1796,15.7572,True
client_id,client_31,down,559,1031,54.2192,True
client_id,client_31,flat,5,1031,0.485,True
client_id,client_31,new,229,1031,22.2114,True
client_id,client_31,stable,139,1031,13.4821,True
client_id,client_31,up,99,1031,9.6023,True
content_type,comparison article,down,399,697,57.2453,True
content_type,comparison article,flat,0,697,0.0,True
content_type,comparison article,new,2,697,0.2869,True
content_type,comparison article,stable,164,697,23.5294,True
