variant,estimator,fold,seed,macro_f1,down_recall,width,train_rows,validation_rows,train_groups,validation_groups,fit_seconds,prediction_seconds
A,logistic_regression,0,42,0.26215159443545066,0.47754309298373393,45,9335,8335,13,5,3.809435300005134,0.07229809999989811
A,random_forest,0,42,0.3826533535590093,0.7766448167030833,45,9335,8335,13,5,3.2724699000027613,0.18552160000399454
A,logistic_regression,1,42,0.2875086826065795,0.46853932584269664,46,13224,4446,9,9,7.562396599998465,0.04360799999994924
A,random_forest,1,42,0.5222519608866183,0.8565543071161049,46,13224,4446,9,9,5.954060299998673,0.18479780000052415
A,logistic_regression,2,42,0.10053006606133623,0.1373346897253306,45,12781,4889,14,4,19.694059800000105,0.07288339999649907
A,random_forest,2,42,0.3262096692719384,0.6375042387249915,45,12781,4889,14,4,5.774435499995889,0.16180120000353782
B,logistic_regression,0,42,0.3424628495856301,0.5765962612284535,49,9335,8335,13,5,3.8181877999959397,0.12614169999869773
B,random_forest,0,42,0.38307138941996616,0.8822529740228211,49,9335,8335,13,5,3.8127191999956267,0.2015596999990521
B,logistic_regression,1,42,0.5328071207870322,0.6760299625468165,50,13224,4446,9,9,1.5451137999989442,0.03974890000245068
B,random_forest,1,42,0.5246143909744115,0.8374531835205993,50,13224,4446,9,9,3.695481100003235,0.14518049999605864
B,logistic_regression,2,42,0.26203548236951263,0.36826042726347913,49,12781,4889,14,4,1.219595599999593,0.04490330000407994
B,random_forest,2,42,0.3232398973372879,0.6876907426246185,49,12781,4889,14,4,3.5979114000001573,0.12300739999773214
C,logistic_regression,0,42,0.3419471917162528,0.6188395241563486,56,9335,8335,13,5,1.1328691000016988,0.06495580000046175
C,random_forest,0,42,0.3757331329177306,0.8909929594561787,56,9335,8335,13,5,3.578370900002483,0.46139579999726266
C,logistic_regression,1,42,0.546177046406024,0.6726591760299625,57,13224,4446,9,9,1.4491785999998683,0.04748960000142688
C,random_forest,1,42,0.5274703233161623,0.851310861423221,57,13224,4446,9,9,4.147522300001583,0.12458060000062687
C,logistic_regression,2,42,0.3166684703733356,0.5517124448965751,56,12781,4889,14,4,1.1980151999960071,0.04676339999423362
C,random_forest,2,42,0.32029336291656046,0.6927772126144456,56,12781,4889,14,4,5.695319699996617,0.22678889999951934
D,logistic_regression,0,42,0.36149142056413375,0.35518329691672734,30,9335,8335,13,5,2.3126771000024746,0.07393930000398541
D,random_forest,0,42,0.35996183945683774,0.9167273610099539,30,9335,8335,13,5,3.8079319999960717,0.2248089000058826
D,logistic_regression,1,42,0.5033253135733149,0.7438202247191011,31,13224,4446,9,9,3.194658200001868,0.03605930000048829
D,random_forest,1,42,0.5220216181393182,0.8543071161048689,31,13224,4446,9,9,5.509343600002467,0.13691480000125011
D,logistic_regression,2,42,0.21860557666439506,0.3940318752119362,30,12781,4889,14,4,1.316774399994756,0.03489099999569589
D,random_forest,2,42,0.29851325222370356,0.7097321125805358,30,12781,4889,14,4,3.57022390000202,0.11609989999851678
E,logistic_regression,0,42,0.32405995072169286,0.0808448652585579,45,9335,8335,13,5,0.8471109999954933,0.05299080000258982
E,random_forest,0,42,0.37580946826298123,0.8327263899004613,45,9335,8335,13,5,3.2629653999974835,0.16323830000328599
E,logistic_regression,1,42,0.5215042431669079,0.6295880149812734,45,13224,4446,9,9,4.409420000003593,0.04052320000482723
E,random_forest,1,42,0.5222445652744387,0.8322097378277153,45,13224,4446,9,9,3.534330000002228,0.11609710000630002
E,logistic_regression,2,42,0.3197587738253366,0.5201763309596473,44,12781,4889,14,4,1.3567030999984127,0.0408400000014808
E,random_forest,2,42,0.34174047599813767,0.7694133604611733,44,12781,4889,14,4,3.4917458000054467,0.11921820000134176
